"filename"                           ,year,term,exam   ,subject_id                   ,"subject_name"                                                     ,"fullpath"                                                                                   ,size      
"310122.pdf"                         ,2010,2   ,final  ,310122                       ,"ENGINEERING DRAWING"                                              ,"2553\\term 2\\final\\310122.pdf"                                                            ,4.20 MB   
"310153.pdf"                         ,2010,2   ,final  ,310153                       ,"Industrial Materials"                                             ,"2553\\term 2\\final\\310153.pdf"                                                            ,7.43 MB   
"310173.pdf"                         ,2010,2   ,final  ,310173                       ,"ENGINEERING STATICS"                                              ,"2553\\term 2\\final\\310173.pdf"                                                            ,1.13 MB   
"310174.pdf"                         ,2010,2   ,final  ,310174                       ,"Materials Engineering"                                            ,"2553\\term 2\\final\\310174.pdf"                                                            ,3.16 MB   
"310223.pdf"                         ,2010,2   ,final  ,310223                       ,"Metrology Engineer"                                               ,"2553\\term 2\\final\\310223.pdf"                                                            ,1.54 MB   
"310251.pdf"                         ,2010,2   ,final  ,310251                       ,"Engineering Mechanics I"                                          ,"2553\\term 2\\final\\310251.pdf"                                                            ,972.07 KB 
"310252.pdf"                         ,2010,2   ,final  ,310252                       ,"Engineering Mechanics"                                            ,"2553\\term 2\\final\\310252.pdf"                                                            ,1009.71 KB
"310253.pdf"                         ,2010,2   ,final  ,310253                       ,"Mechanics of Materials"                                           ,"2553\\term 2\\final\\310253.pdf"                                                            ,1.51 MB   
"310254.pdf"                         ,2010,2   ,final  ,310254                       ,"Engineering Dynamics"                                             ,"2553\\term 2\\final\\310254.pdf"                                                            ,1.09 MB   
"310255.pdf"                         ,2010,2   ,final  ,310255                       ,"Mechanics of Solids"                                              ,"2553\\term 2\\final\\310255.pdf"                                                            ,1.49 MB   
"310256.pdf"                         ,2010,2   ,final  ,310256                       ,"MANUFACTURING PROCESSES"                                          ,"2553\\term 2\\final\\310256.pdf"                                                            ,5.09 MB   
"310257.pdf"                         ,2010,2   ,final  ,310257                       ,"CNC Technology"                                                   ,"2553\\term 2\\final\\310257.pdf"                                                            ,1.61 MB   
"310264.pdf"                         ,2010,2   ,final  ,310264                       ,"Tools and Cutting Engineering"                                    ,"2553\\term 2\\final\\310264.pdf"                                                            ,5.74 MB   
"310324.pdf"                         ,2010,2   ,final  ,310324                       ,"HYDRAULICS AND PNEUMATICS"                                        ,"2553\\term 2\\final\\310324.pdf"                                                            ,1.85 MB   
"310325.pdf"                         ,2010,2   ,final  ,310325                       ,"(CAD/CAM)"                                                        ,"2553\\term 2\\final\\310325.pdf"                                                            ,7.80 MB   
"310326.pdf"                         ,2010,2   ,final  ,310326                       ,"HYDRAULICS AND PNEUMATICS"                                        ,"2553\\term 2\\final\\310326.pdf"                                                            ,1.84 MB   
"310359.pdf"                         ,2010,2   ,final  ,310359                       ,"Mechanical Vibrations"                                            ,"2553\\term 2\\final\\310359.pdf"                                                            ,1.26 MB   
"310361.pdf"                         ,2010,2   ,final  ,310361                       ,"DESIGN OF MACHINE ELEMENTS"                                       ,"2553\\term 2\\final\\310361.pdf"                                                            ,2.30 MB   
"310362.pdf"                         ,2010,2   ,final  ,310362                       ,"FAILURE ANALYSIS TO MATERIALS"                                    ,"2553\\term 2\\final\\310362.pdf"                                                            ,963.49 KB 
"310363.pdf"                         ,2010,2   ,final  ,310363                       ,"Machine Design"                                                   ,"2553\\term 2\\final\\310363.pdf"                                                            ,717.12 KB 
"310364.pdf"                         ,2010,2   ,final  ,310364                       ,"TOOL ENGINEERING"                                                 ,"2553\\term 2\\final\\310364.pdf"                                                            ,1.50 MB   
"310421.pdf"                         ,2010,2   ,final  ,310421                       ,"BASIC MECHANICAL DRAWING"                                         ,"2553\\term 2\\final\\310421.pdf"                                                            ,4.13 MB   
"311131.pdf"                         ,2010,2   ,final  ,311131                       ,"MECHANICAL DRAWING I"                                             ,"2553\\term 2\\final\\311131.pdf"                                                            ,2.99 MB   
"311132.pdf"                         ,2010,2   ,final  ,311132                       ,"MECHANICAL DRAWING II"                                            ,"2553\\term 2\\final\\311132.pdf"                                                            ,1.73 MB   
"311134.pdf"                         ,2010,2   ,final  ,311134                       ,"MECHANICAL DRAWING IV"                                            ,"2553\\term 2\\final\\311134.pdf"                                                            ,1.98 MB   
"311136.pdf"                         ,2010,2   ,final  ,311136                       ,"MECHANICAL DRAWING VI"                                            ,"2553\\term 2\\final\\311136.pdf"                                                            ,1.25 MB   
"311137.pdf"                         ,2010,2   ,final  ,311137                       ,"COMPUTER - AIDED DRAFTING"                                        ,"2553\\term 2\\final\\311137.pdf"                                                            ,1.92 MB   
"312252.pdf"                         ,2010,2   ,final  ,312252                       ,"FUNAMENTAL OF MECHANISMS"                                         ,"2553\\term 2\\final\\312252.pdf"                                                            ,1.63 MB   
"312353.pdf"                         ,2010,2   ,final  ,312353                       ,"System Control Technology"                                        ,"2553\\term 2\\final\\312353.pdf"                                                            ,8.64 MB   
"313151.pdf"                         ,2010,2   ,final  ,313151                       ,"MACHINE THEORY AND CALCULATION"                                   ,"2553\\term 2\\final\\313151.pdf"                                                            ,6.71 MB   
"313221.pdf"                         ,2010,2   ,final  ,313221                       ,"Computer Aided Mold Drafting"                                     ,"2553\\term 2\\final\\313221.pdf"                                                            ,511.64 KB 
"313252.pdf"                         ,2010,2   ,final  ,313252                       ,"PLASTICS TECHNOLOGY I"                                            ,"2553\\term 2\\final\\313252.pdf"                                                            ,2.49 MB   
"313254.pdf"                         ,2010,2   ,final  ,313254                       ,"PLASTICS MOLD DESIGN"                                             ,"2553\\term 2\\final\\313254.pdf"                                                            ,1.33 MB   
"313355.pdf"                         ,2010,2   ,final  ,313355                       ,"Plastic Mould Design II"                                          ,"2553\\term 2\\final\\313355.pdf"                                                            ,2.46 MB   
"313356.pdf"                         ,2010,2   ,final  ,313356                       ,"Plastic Products Design"                                          ,"2553\\term 2\\final\\313356.pdf"                                                            ,2.24 MB   
"313357.pdf"                         ,2010,2   ,final  ,313357                       ,"Injection Mould Repairs and Maintenance"                          ,"2553\\term 2\\final\\313357.pdf"                                                            ,1022.91 KB
"314252.pdf"                         ,2010,2   ,final  ,314252                       ,"Die Design I"                                                     ,"2553\\term 2\\final\\314252.pdf"                                                            ,4.39 MB   
"314261.pdf"                         ,2010,2   ,final  ,314261                       ,"Computer Aided Metal Mold Drafting"                               ,"2553\\term 2\\final\\314261.pdf"                                                            ,490.01 KB 
"314262.pdf"                         ,2010,2   ,final  ,314262                       ,"Tribology in metal working"                                       ,"2553\\term 2\\final\\314262.pdf"                                                            ,3.40 MB   
"315252.pdf"                         ,2010,2   ,final  ,315252                       ,"Welding Process II"                                               ,"2553\\term 2\\final\\315252.pdf"                                                            ,2.24 MB   
"315271.pdf"                         ,2010,2   ,final  ,315271                       ,"Design of Weldment 1"                                             ,"2553\\term 2\\final\\315271.pdf"                                                            ,3.99 MB   
"315337.pdf"                         ,2010,2   ,final  ,315337                       ,"Introduction to Welding Automation"                               ,"2553\\term 2\\final\\315337.pdf"                                                            ,1.02 MB   
"315364.pdf"                         ,2010,2   ,final  ,315364                       ,"Welding Inspection"                                               ,"2553\\term 2\\final\\315364.pdf"                                                            ,1.01 MB   
"315382.pdf"                         ,2010,2   ,final  ,315382                       ,"Welding Metallurgy of Ferrous Materials"                          ,"2553\\term 2\\final\\315382.pdf"                                                            ,1.04 MB   
"315384.pdf"                         ,2010,2   ,final  ,315384                       ,"WELDING METALLURGY OF NON-FERROUS AND HIGHALLOY"                  ,"2553\\term 2\\final\\315384.pdf"                                                            ,2.61 MB   
"315486.pdf"                         ,2010,2   ,final  ,315486                       ,"Failure analysis of Metals"                                       ,"2553\\term 2\\final\\315486.pdf"                                                            ,4.27 MB   
"317351.pdf"                         ,2010,2   ,final  ,317351                       ,"Engineering Matallurgy"                                           ,"2553\\term 2\\final\\317351.pdf"                                                            ,3.17 MB   
"317359.pdf"                         ,2010,2   ,final  ,317359                       ,"Mechanics and Machinery"                                          ,"2553\\term 2\\final\\317359.pdf"                                                            ,2.28 MB   
"317502.pdf"                         ,2010,2   ,final  ,317502                       ,"Applied Hydraulics and Pneumatics"                                ,"2553\\term 2\\final\\317502.pdf"                                                            ,1.34 MB   
"317503.pdf"                         ,2010,2   ,final  ,317503                       ,"Precision Technology"                                             ,"2553\\term 2\\final\\317503.pdf"                                                            ,4.17 MB   
"317504.pdf"                         ,2010,2   ,final  ,317504                       ,"Materials Technology"                                             ,"2553\\term 2\\final\\317504.pdf"                                                            ,3.21 MB   
"317505.pdf"                         ,2010,2   ,final  ,317505                       ,"MANUFACTURING PROCESSES"                                          ,"2553\\term 2\\final\\317505.pdf"                                                            ,3.67 MB   
"317506.pdf"                         ,2010,2   ,final  ,317506                       ,"SYSTEM CONTROL TECHNOLOGY"                                        ,"2553\\term 2\\final\\317506.pdf"                                                            ,3.59 MB   
"317546.pdf"                         ,2010,2   ,final  ,317546                       ,"AUTOMATIC CONTROL"                                                ,"2553\\term 2\\final\\317546.pdf"                                                            ,6.77 MB   
"317547.pdf"                         ,2010,2   ,final  ,317547                       ,"Cutting Technology"                                               ,"2553\\term 2\\final\\317547.pdf"                                                            ,2.26 MB   
"317558.pdf"                         ,2010,2   ,final  ,317558                       ,"PLASTIC TECHNOLOGY"                                               ,"2553\\term 2\\final\\317558.pdf"                                                            ,4.78 MB   
"317571.pdf"                         ,2010,2   ,final  ,317571                       ,"Industrial Machine Tools"                                         ,"2553\\term 2\\final\\317571.pdf"                                                            ,9.49 MB   
"317572.pdf"                         ,2010,2   ,final  ,317572                       ,"Machine Structure Analysis"                                       ,"2553\\term 2\\final\\317572.pdf"                                                            ,1.17 MB   
"317573.pdf"                         ,2010,2   ,final  ,317573                       ,"Machine Design"                                                   ,"2553\\term 2\\final\\317573.pdf"                                                            ,3.17 MB   
"317574.pdf"                         ,2010,2   ,final  ,317574                       ,"MACHINE TOOLS PERFORMANCES ANALYSIS"                              ,"2553\\term 2\\final\\317574.pdf"                                                            ,665.06 KB 
"317575.pdf"                         ,2010,2   ,final  ,317575                       ,"FUNDAMENTAL OF MECHANISM"                                         ,"2553\\term 2\\final\\317575.pdf"                                                            ,1.63 MB   
"317586.pdf"                         ,2010,2   ,final  ,317586                       ,"Metal Forming Design I"                                           ,"2553\\term 2\\final\\317586.pdf"                                                            ,3.45 MB   
"317589.pdf"                         ,2010,2   ,final  ,317589                       ,"Plastic Mould Design II"                                          ,"2553\\term 2\\final\\317589.pdf"                                                            ,2.41 MB   
"317590.pdf"                         ,2010,2   ,final  ,317590                       ,"Introduction to Finite Element Method"                            ,"2553\\term 2\\final\\317590.pdf"                                                            ,1.10 MB   
"318326.pdf"                         ,2010,2   ,final  ,318326                       ,"Control Technology"                                               ,"2553\\term 2\\final\\318326.pdf"                                                            ,4.33 MB   
"318352.pdf"                         ,2010,2   ,final  ,318352                       ,"Production Engineering and Production Organization"               ,"2553\\term 2\\final\\318352.pdf"                                                            ,5.13 MB   
"318424.pdf"                         ,2010,2   ,final  ,318424                       ,"COMPUTER INTEGRATED MANUFACTURING"                                ,"2553\\term 2\\final\\318424.pdf"                                                            ,3.78 MB   
"318434.pdf"                         ,2010,2   ,final  ,318434                       ,"Digital Image Processing"                                         ,"2553\\term 2\\final\\318434.pdf"                                                            ,1.83 MB   
"319221.pdf"                         ,2010,2   ,final  ,319221                       ,"POLYMER PROCESSING I"                                             ,"2553\\term 2\\final\\319221.pdf"                                                            ,5.66 MB   
"319261.pdf"                         ,2010,2   ,final  ,319261                       ,"CHEMISTRY OF POLYMERS"                                            ,"2553\\term 2\\final\\319261.pdf"                                                            ,2.53 MB   
"319323.pdf"                         ,2010,2   ,final  ,319323                       ,"POLYMERS PROCESSING III"                                          ,"2553\\term 2\\final\\319323.pdf"                                                            ,2.10 MB   
"319341.pdf"                         ,2010,2   ,final  ,319341                       ,"Plastic Parts Design"                                             ,"2553\\term 2\\final\\319341.pdf"                                                            ,1.63 MB   
"319465.pdf"                         ,2010,2   ,final  ,319465                       ,"RHEOLOGY OF PLASTICS"                                             ,"2553\\term 2\\final\\319465.pdf"                                                            ,3.37 MB   
"320251.pdf"                         ,2010,2   ,final  ,320251                       ,"ThermoFluid"                                                      ,"2553\\term 2\\final\\320251.pdf"                                                            ,995.18 KB 
"320252.pdf"                         ,2010,2   ,final  ,320252                       ,"THERMODYNAMICS"                                                   ,"2553\\term 2\\final\\320252.pdf"                                                            ,900.65 KB 
"320253.pdf"                         ,2010,2   ,final  ,320253                       ,"FLUID MECHANICS"                                                  ,"2553\\term 2\\final\\320253.pdf"                                                            ,1.64 MB   
"321151.pdf"                         ,2010,2   ,final  ,321151                       ,"AUTOMOTIVE THEORY AND CALCULATION"                                ,"2553\\term 2\\final\\321151.pdf"                                                            ,2.67 MB   
"321223.pdf"                         ,2010,2   ,final  ,321223                       ,"AUTOMOTIVE ELECTRICAL TECHNOLOGY"                                 ,"2553\\term 2\\final\\321223.pdf"                                                            ,4.52 MB   
"321261.pdf"                         ,2010,2   ,final  ,321261                       ,"Automotive Engineering"                                           ,"2553\\term 2\\final\\321261.pdf"                                                            ,3.47 MB   
"321322.pdf"                         ,2010,2   ,final  ,321322                       ,"AUTOMOTIVE MEASUREMENT AND INSTRUMENT TECHNOLOGY"                 ,"2553\\term 2\\final\\321322.pdf"                                                            ,1.08 MB   
"321352.pdf"                         ,2010,2   ,final  ,321352                       ,"POWER TRAIN TECHNOLOGY"                                           ,"2553\\term 2\\final\\321352.pdf"                                                            ,1.27 MB   
"321354.pdf"                         ,2010,2   ,final  ,321354                       ,"ENGINE PART MANUFACTURING"                                        ,"2553\\term 2\\final\\321354.pdf"                                                            ,1.21 MB   
"321422.pdf"                         ,2010,2   ,final  ,321422                       ,"AERODYNAMICS"                                                     ,"2553\\term 2\\final\\321422.pdf"                                                            ,1.86 MB   
"321495.pdf"                         ,2010,2   ,final  ,321495                       ,"AUTOMOTIVE POLLUTION CONTROL"                                     ,"2553\\term 2\\final\\321495.pdf"                                                            ,3.52 MB   
"321498.pdf"                         ,2010,2   ,final  ,321498                       ,"COMBUSTION"                                                       ,"2553\\term 2\\final\\321498.pdf"                                                            ,972.89 KB 
"322315.pdf"                         ,2010,2   ,final  ,322315                       ,"HEAT TRANSFER"                                                    ,"2553\\term 2\\final\\322315.pdf"                                                            ,2.96 MB   
"322323.pdf"                         ,2010,2   ,final  ,322323                       ,"Air-Conditioning Piping Drawing"                                  ,"2553\\term 2\\final\\322323.pdf"                                                            ,2.43 MB   
"322353.pdf"                         ,2010,2   ,final  ,322353                       ,"Commercial and Industrial Refrigeration"                          ,"2553\\term 2\\final\\322353.pdf"                                                            ,3.11 MB   
"322354.pdf"                         ,2010,2   ,final  ,322354                       ,"Air Conditioning"                                                 ,"2553\\term 2\\final\\322354.pdf"                                                            ,2.93 MB   
"322458.pdf"                         ,2010,2   ,final  ,322458                       ,"Industrial Ventilation"                                           ,"2553\\term 2\\final\\322458.pdf"                                                            ,731.83 KB 
"322459.pdf"                         ,2010,2   ,final  ,322459                       ,"Energy Management"                                                ,"2553\\term 2\\final\\322459.pdf"                                                            ,2.41 MB   
"322460.pdf"                         ,2010,2   ,final  ,322460                       ,"CLEAN ROOM DESIGN"                                                ,"2553\\term 2\\final\\322460.pdf"                                                            ,5.71 MB   
"322492.pdf"                         ,2010,2   ,final  ,322492                       ,"--EMPTY--"                                                        ,"2553\\term 2\\final\\322492.pdf"                                                            ,230.20 KB 
"322494.pdf"                         ,2010,2   ,final  ,322494                       ,"Cold Storage System"                                              ,"2553\\term 2\\final\\322494.pdf"                                                            ,564.29 KB 
"324341.pdf"                         ,2010,2   ,final  ,324341                       ,"AUTOMOTIVE MANUFACTURING"                                         ,"2553\\term 2\\final\\324341.pdf"                                                            ,1.47 MB   
"324342.pdf"                         ,2010,2   ,final  ,324342                       ,"AUTOMOTIVE ELECTRICAL & ELECTRONIC TECHNOLOGY"                    ,"2553\\term 2\\final\\324342.pdf"                                                            ,3.44 MB   
"324343.pdf"                         ,2010,2   ,final  ,324343                       ,"AUTOMOTIVE BUSINESS ENTERPRISES"                                  ,"2553\\term 2\\final\\324343.pdf"                                                            ,585.28 KB 
"324352.pdf"                         ,2010,2   ,final  ,324352                       ,"Automotive Technology"                                            ,"2553\\term 2\\final\\324352.pdf"                                                            ,2.47 MB   
"324353.pdf"                         ,2010,2   ,final  ,324353                       ,"AERODYNAMICS"                                                     ,"2553\\term 2\\final\\324353.pdf"                                                            ,1.90 MB   
"324354.pdf"                         ,2010,2   ,final  ,324354                       ,"Design of Power and Machine Technology"                           ,"2553\\term 2\\final\\324354.pdf"                                                            ,227.48 KB 
"324361.pdf"                         ,2010,2   ,final  ,324361                       ,"INDUSTRIAL INSTALLATION & MAINTENANCE"                            ,"2553\\term 2\\final\\324361.pdf"                                                            ,724.85 KB 
"324372.pdf"                         ,2010,2   ,final  ,324372                       ,"Mechanical Vibration"                                             ,"2553\\term 2\\final\\324372.pdf"                                                            ,896.44 KB 
"325322.pdf"                         ,2010,2   ,final  ,325322                       ,"INDUSTRIAL PIPING TECHNOLOGY"                                     ,"2553\\term 2\\final\\325322.pdf"                                                            ,3.41 MB   
"325333.pdf"                         ,2010,2   ,final  ,325333                       ,"Engineering Materials"                                            ,"2553\\term 2\\final\\325333.pdf"                                                            ,6.36 MB   
"325335.pdf"                         ,2010,2   ,final  ,325335                       ,"Refrigeration and Air-Conditioning Technology"                    ,"2553\\term 2\\final\\325335.pdf"                                                            ,3.15 MB   
"325342.pdf"                         ,2010,2   ,final  ,325342                       ,"Automatics Control"                                               ,"2553\\term 2\\final\\325342.pdf"                                                            ,1016.58 KB
"325346.pdf"                         ,2010,2   ,final  ,325346                       ,"MICROPROCESSOR TECHNOLOGY"                                        ,"2553\\term 2\\final\\325346.pdf"                                                            ,2.19 MB   
"325352.pdf"                         ,2010,2   ,final  ,325352                       ,"(Boiler Technology)"                                              ,"2553\\term 2\\final\\325352.pdf"                                                            ,1.79 MB   
"325353.pdf"                         ,2010,2   ,final  ,325353                       ,"Elements of Industrial Eiectrical System"                         ,"2553\\term 2\\final\\325353.pdf"                                                            ,4.52 MB   
"325363.pdf"                         ,2010,2   ,final  ,325363                       ,"TURBINE TECHNOLOGY"                                               ,"2553\\term 2\\final\\325363.pdf"                                                            ,2.49 MB   
"325371.pdf"                         ,2010,2   ,final  ,325371                       ,"HEAT TRANSFER"                                                    ,"2553\\term 2\\final\\325371.pdf"                                                            ,716.43 KB 
"325373.pdf"                         ,2010,2   ,final  ,325373                       ,"Introductory to Thermoﬂuids"                                      ,"2553\\term 2\\final\\325373.pdf"                                                            ,2.16 MB   
"325384.pdf"                         ,2010,2   ,final  ,325384                       ,"POWERPLANT TECHNOLOGY"                                            ,"2553\\term 2\\final\\325384.pdf"                                                            ,2.94 MB   
"325386.pdf"                         ,2010,2   ,final  ,325386                       ,"SOLAR ENERGY"                                                     ,"2553\\term 2\\final\\325386.pdf"                                                            ,631.58 KB 
"325392.pdf"                         ,2010,2   ,final  ,325392                       ,"(Industrial Energy Management)"                                   ,"2553\\term 2\\final\\325392.pdf"                                                            ,2.45 MB   
"325393.pdf"                         ,2010,2   ,final  ,325393                       ,"INDUSTRIAL PROCESS INSTRUMENTATION"                               ,"2553\\term 2\\final\\325393.pdf"                                                            ,2.09 MB   
"331151.pdf"                         ,2010,2   ,final  ,331151                       ,"WELDING THEORY AND CALCULATIONS"                                  ,"2553\\term 2\\final\\331151.pdf"                                                            ,1.52 MB   
"331250.pdf"                         ,2010,2   ,final  ,331250                       ,"ENGINEERING STATISTICS"                                           ,"2553\\term 2\\final\\331250.pdf"                                                            ,4.74 MB   
"331333.pdf"                         ,2010,2   ,final  ,331333                       ,"Simulation"                                                       ,"2553\\term 2\\final\\331333.pdf"                                                            ,3.11 MB   
"331334.pdf"                         ,2010,2   ,final  ,331334                       ,"PRODUCY AND PRODUCTION DESIGN"                                    ,"2553\\term 2\\final\\331334.pdf"                                                            ,529.05 KB 
"331352.pdf"                         ,2010,2   ,final  ,331352                       ,"Piping Materials"                                                 ,"2553\\term 2\\final\\331352.pdf"                                                            ,2.97 MB   
"331354.pdf"                         ,2010,2   ,final  ,331354                       ,"(Pumps and Valvs Technology)"                                     ,"2553\\term 2\\final\\331354.pdf"                                                            ,3.24 MB   
"331361.pdf"                         ,2010,2   ,final  ,331361                       ,"Industrial Work Study"                                            ,"2553\\term 2\\final\\331361.pdf"                                                            ,3.94 MB   
"331364.pdf"                         ,2010,2   ,final  ,331364                       ,"Quality Control"                                                  ,"2553\\term 2\\final\\331364.pdf"                                                            ,1.94 MB   
"331367.1.pdf"                       ,2010,2   ,final  ,331367                       ,"Engineering Economy"                                              ,"2553\\term 2\\final\\331367.1.pdf"                                                          ,1.78 MB   
"331367.pdf"                         ,2010,2   ,final  ,331367                       ,"Engineering Economy"                                              ,"2553\\term 2\\final\\331367.pdf"                                                            ,1.66 MB   
"331368.pdf"                         ,2010,2   ,final  ,331368                       ,"Safety Engineering"                                               ,"2553\\term 2\\final\\331368.pdf"                                                            ,6.71 MB   
"331463.pdf"                         ,2010,2   ,final  ,331463                       ,"(Industrial Plant Design"                                         ,"2553\\term 2\\final\\331463.pdf"                                                            ,4.87 MB   
"331465.pdf"                         ,2010,2   ,final  ,331465                       ,"Production Planning and Control"                                  ,"2553\\term 2\\final\\331465.pdf"                                                            ,4.76 MB   
"331466.pdf"                         ,2010,2   ,final  ,331466                       ,"Maintenance Engineering"                                          ,"2553\\term 2\\final\\331466.pdf"                                                            ,2.14 MB   
"332313.pdf"                         ,2010,2   ,final  ,332313                       ,"Structure Design and Drafting 1"                                  ,"2553\\term 2\\final\\332313.pdf"                                                            ,2.14 MB   
"332314.pdf"                         ,2010,2   ,final  ,332314                       ,"Structure Design and Drafting 2"                                  ,"2553\\term 2\\final\\332314.pdf"                                                            ,3.28 MB   
"332332.pdf"                         ,2010,2   ,final  ,332332                       ,"Welding Inspection"                                               ,"2553\\term 2\\final\\332332.pdf"                                                            ,3.01 MB   
"332334.pdf"                         ,2010,2   ,final  ,332334                       ,"WELDING MATALLURGY II"                                            ,"2553\\term 2\\final\\332334.pdf"                                                            ,2.62 MB   
"332342.pdf"                         ,2010,2   ,final  ,332342                       ,"Mechanical Engineering Control"                                   ,"2553\\term 2\\final\\332342.pdf"                                                            ,519.93 KB 
"332352.pdf"                         ,2010,2   ,final  ,332352                       ,"Fabrication and Application Engineering"                          ,"2553\\term 2\\final\\332352.pdf"                                                            ,564.73 KB 
"332353.pdf"                         ,2010,2   ,final  ,332353                       ,"Sheet Metal Forming Technology"                                   ,"2553\\term 2\\final\\332353.pdf"                                                            ,4.34 MB   
"332354.pdf"                         ,2010,2   ,final  ,332354                       ,"Automatic Welding Process"                                        ,"2553\\term 2\\final\\332354.pdf"                                                            ,1018.09 KB
"332356.pdf"                         ,2010,2   ,final  ,332356                       ,"(Corrosion Control)"                                              ,"2553\\term 2\\final\\332356.pdf"                                                            ,3.65 MB   
"336143.pdf"                         ,2010,2   ,final  ,336143                       ,"Computer-aided Design for Electrical and Electronics"             ,"2553\\term 2\\final\\336143.pdf"                                                            ,1.19 MB   
"336151.pdf"                         ,2010,2   ,final  ,336151                       ,"DATA STRUCTURE AND ALGORITHM"                                     ,"2553\\term 2\\final\\336151.pdf"                                                            ,1.50 MB   
"336153.pdf"                         ,2010,2   ,final  ,336153                       ,"Operating System"                                                 ,"2553\\term 2\\final\\336153.pdf"                                                            ,1.06 MB   
"336161.pdf"                         ,2010,2   ,final  ,336161                       ,"BASIC MATERIAL SCIENCE"                                           ,"2553\\term 2\\final\\336161.pdf"                                                            ,1.98 MB   
"336232.pdf"                         ,2010,2   ,final  ,336232                       ,"Database"                                                         ,"2553\\term 2\\final\\336232.pdf"                                                            ,1.34 MB   
"336243.pdf"                         ,2010,2   ,final  ,336243                       ,"Computer-aided Design for Manufacturing"                          ,"2553\\term 2\\final\\336243.pdf"                                                            ,2.92 MB   
"336244.pdf"                         ,2010,2   ,final  ,336244                       ,"PROGRAMMABLE LOGIC CONTROL"                                       ,"2553\\term 2\\final\\336244.pdf"                                                            ,3.26 MB   
"336253.pdf"                         ,2010,2   ,final  ,336253                       ,"Data Communication and Network Technology"                        ,"2553\\term 2\\final\\336253.pdf"                                                            ,1.19 MB   
"336271.pdf"                         ,2010,2   ,final  ,336271                       ,"INVENTOTY SYSTEM MANAGEMENT"                                      ,"2553\\term 2\\final\\336271.pdf"                                                            ,7.59 MB   
"336272.pdf"                         ,2010,2   ,final  ,336272                       ,"Supply Chain"                                                     ,"2553\\term 2\\final\\336272.pdf"                                                            ,956.44 KB 
"336474.pdf"                         ,2010,2   ,final  ,336474                       ,"Communication and Team Building"                                  ,"2553\\term 2\\final\\336474.pdf"                                                            ,2.80 MB   
"336476.pdf"                         ,2010,2   ,final  ,336476                       ,"Logistics II"                                                     ,"2553\\term 2\\final\\336476.pdf"                                                            ,856.13 KB 
"340131.pdf"                         ,2010,2   ,final  ,340131                       ,"(Basic ELectricity)"                                              ,"2553\\term 2\\final\\340131.pdf"                                                            ,1.48 MB   
"340134.pdf"                         ,2010,2   ,final  ,340134                       ,"CIVIL CONSTRUCTION DRAWING IV"                                    ,"2553\\term 2\\final\\340134.pdf"                                                            ,1.16 MB   
"340141.pdf"                         ,2010,2   ,final  ,340141                       ,"BASIC ELECTRICAL MACHINES"                                        ,"2553\\term 2\\final\\340141.pdf"                                                            ,3.47 MB   
"340152.pdf"                         ,2010,2   ,final  ,340152                       ,"Electrical Instruments"                                           ,"2553\\term 2\\final\\340152.pdf"                                                            ,2.79 MB   
"340171.pdf"                         ,2010,2   ,final  ,340171                       ,"Electric Circuit I"                                               ,"2553\\term 2\\final\\340171.pdf"                                                            ,883.13 KB 
"340254.pdf"                         ,2010,2   ,final  ,340254                       ,"ELECTRICAL ENGINEERING MATHEMATICS"                               ,"2553\\term 2\\final\\340254.pdf"                                                            ,1.64 MB   
"340258.pdf"                         ,2010,2   ,final  ,340258                       ,"(Fundamental for ELectrical Engineering II)"                      ,"2553\\term 2\\final\\340258.pdf"                                                            ,2.44 MB   
"340351.pdf"                         ,2010,2   ,final  ,340351                       ,"ELECTROMAGNETIC FIELDS"                                           ,"2553\\term 2\\final\\340351.pdf"                                                            ,1.16 MB   
"340361.pdf"                         ,2010,2   ,final  ,340361                       ,"Control System"                                                   ,"2553\\term 2\\final\\340361.pdf"                                                            ,810.09 KB 
"340451.pdf"                         ,2010,2   ,final  ,340451                       ,"ELectrical Machine"                                               ,"2553\\term 2\\final\\340451.pdf"                                                            ,3.97 MB   
"340452.pdf"                         ,2010,2   ,final  ,340452                       ,"(Control System)"                                                 ,"2553\\term 2\\final\\340452.pdf"                                                            ,1.05 MB   
"340491.pdf"                         ,2010,2   ,final  ,340491                       ,"HIGH VOLTAGE ENGINEERING"                                         ,"2553\\term 2\\final\\340491.pdf"                                                            ,3.30 MB   
"340492.pdf"                         ,2010,2   ,final  ,340492                       ,"POWER PLANTS AND SUBSTATION"                                      ,"2553\\term 2\\final\\340492.pdf"                                                            ,8.74 MB   
"341132.pdf"                         ,2010,2   ,final  ,341132                       ,"(Electrical Drawing II)"                                          ,"2553\\term 2\\final\\341132.pdf"                                                            ,4.95 MB   
"341152.pdf"                         ,2010,2   ,final  ,341152                       ,"Electrical Circuit II"                                            ,"2553\\term 2\\final\\341152.pdf"                                                            ,6.89 MB   
"341251.pdf"                         ,2010,2   ,final  ,341251                       ,"POWER ELECTRONICS DEVICES AND PROTECTION"                         ,"2553\\term 2\\final\\341251.pdf"                                                            ,1.60 MB   
"341252.pdf"                         ,2010,2   ,final  ,341252                       ,"Electrical Measurement and Instrumentation"                       ,"2553\\term 2\\final\\341252.pdf"                                                            ,627.77 KB 
